
    ------------------------------------------------------
    MEAN ELEMENTS OF THE PLANETS IN THE SOLUTIONS VSOP2013
    ------------------------------------------------------

    Mean Elements are the secular terms of the series VSOP2013
    for the 6 elliptic:
    
    a       =  semi-major axis (astronomical unit), 
    lambda  =  mean longitude (radian), 
    k       =  e.cos(pi), 
    h       =  e.sin(pi), 
    q       =  sin(i/2).cos(omega), 
    p       =  sin(i/2).sin(omega),
    
    with:
    
    e       =  eccentricity,
    pi      =  perihelion longitude (radian),
    i       =  inclination (radian),
    omega   =  ascending node longitude (radian).
    
    T = TDB measured in thousands of Julian years from J2000 (JD 2451545.0).
    
    The secular terms of the set < a, lambda, k, h, p > are directly extracted 
    from the series VSOP2013. 
    
    The secular terms of the set < e, pi, i, omega > are deduced from the complete 
    series VSOP2013 and not from the mean elements of < a, lambda, k, h, p > 
    (that would give inacurate results). 

    -------
    MERCURY
    -------
 
    0.6283075850353214D+04  ! T**01    EARTH-MOON  lambda : mean longitude     
   -0.9803726171868714D-05  ! T**02    EARTH-MOON  lambda : mean longitude     
   -0.8022120246481382D-08  ! T**03    EARTH-MOON  lambda : mean longitude     
    0.9208504495727659D-08  ! T**04    EARTH-MOON  lambda : mean longitude     
    0.1530841755295383D-07  ! T**05    EARTH-MOON  lambda : mean longitude     
   -0.3045912241306341D-09  ! T**06    EARTH-MOON  lambda : mean longitude     
   -0.9142063029336711D-09  ! T**07    EARTH-MOON  lambda : mean longitude     
    0.5805712579777209D-11  ! T**08    EARTH-MOON  lambda : mean longitude     
    0.1511431065068732D-10  ! T**09    EARTH-MOON  lambda : mean longitude     
   -0.2079889001407507D-14  ! T**10    EARTH-MOON  lambda : mean longitude     
 
   -0.3740818074000000D-02  ! T**00    EARTH-MOON  k      : e cos(pi)          
   -0.8226866083381023D-03  ! T**01    EARTH-MOON  k      : e cos(pi)          
    0.2766670965181005D-04  ! T**02    EARTH-MOON  k      : e cos(pi)          
    0.1172924720970200D-05  ! T**03    EARTH-MOON  k      : e cos(pi)          
   -0.2733318996560913D-07  ! T**04    EARTH-MOON  k      : e cos(pi)          
   -0.7231233413191204D-09  ! T**05    EARTH-MOON  k      : e cos(pi)          
    0.2201584910680027D-10  ! T**06    EARTH-MOON  k      : e cos(pi)          
    0.3460853436948173D-12  ! T**07    EARTH-MOON  k      : e cos(pi)          
    0.5231405952154977D-14  ! T**08    EARTH-MOON  k      : e cos(pi)          
    0.5697687592175321D-15  ! T**09    EARTH-MOON  k      : e cos(pi)          
 
    0.1628448918000000D-01  ! T**00    EARTH-MOON  h      : e sin(pi)          
   -0.6203015463663059D-03  ! T**01    EARTH-MOON  h      : e sin(pi)          
   -0.3387469970891834D-04  ! T**02    EARTH-MOON  h      : e sin(pi)          
    0.8561504508364347D-06  ! T**03    EARTH-MOON  h      : e sin(pi)          
    0.2776340239813239D-07  ! T**04    EARTH-MOON  h      : e sin(pi)          
   -0.6447875344468708D-09  ! T**05    EARTH-MOON  h      : e sin(pi)          
   -0.4799921941302621D-11  ! T**06    EARTH-MOON  h      : e sin(pi)          
    0.3238930365205707D-11  ! T**07    EARTH-MOON  h      : e sin(pi)          
   -0.9600254346002392D-15  ! T**08    EARTH-MOON  h      : e sin(pi)          
 
   -0.1443000000000000D-08  ! T**00    EARTH-MOON  q      : sin(i/2) cos(omega)
   -0.1134731322072173D-02  ! T**01    EARTH-MOON  q      : sin(i/2) cos(omega)
    0.1236743820044911D-04  ! T**02    EARTH-MOON  q      : sin(i/2) cos(omega)
    0.1265390615335290D-05  ! T**03    EARTH-MOON  q      : sin(i/2) cos(omega)
   -0.1364851841718890D-07  ! T**04    EARTH-MOON  q      : sin(i/2) cos(omega)
   -0.3167797729580470D-09  ! T**05    EARTH-MOON  q      : sin(i/2) cos(omega)
   -0.3875098895858614D-12  ! T**06    EARTH-MOON  q      : sin(i/2) cos(omega)
   -0.1132710009081122D-12  ! T**07    EARTH-MOON  q      : sin(i/2) cos(omega)
 
   -0.9700000000000000D-09  ! T**00    EARTH-MOON  p      : sin(i/2) sin(omega)
    0.1017891898227051D-03  ! T**01    EARTH-MOON  p      : sin(i/2) sin(omega)
    0.4702795245810685D-04  ! T**02    EARTH-MOON  p      : sin(i/2) sin(omega)
   -0.5421827377115325D-06  ! T**03    EARTH-MOON  p      : sin(i/2) sin(omega)
   -0.2508633795522544D-07  ! T**04    EARTH-MOON  p      : sin(i/2) sin(omega)
    0.4575014479216902D-09  ! T**05    EARTH-MOON  p      : sin(i/2) sin(omega)
    0.5208591612817609D-11  ! T**06    EARTH-MOON  p      : sin(i/2) sin(omega)
   -0.1737141639583644D-12  ! T**07    EARTH-MOON  p      : sin(i/2) sin(omega)

    0.1670864697368309D-01  ! T**00    EARTH-MOON  e
   -0.4203675468672564D-03  ! T**01    EARTH-MOON  e
   -0.1272928481185980D-04  ! T**02    EARTH-MOON  e
    0.1469176042873158D-06  ! T**03    EARTH-MOON  e
   -0.2661163176494270D-09  ! T**04    EARTH-MOON  e
    0.1602417923702964D-09  ! T**05    EARTH-MOON  e
    0.1467520338014108D-10  ! T**06    EARTH-MOON  e
    0.2358121917511894D-11  ! T**07    EARTH-MOON  e
   -0.4332365865175455D-13  ! T**08    EARTH-MOON  e

    0.1796595575517163D+01  ! T**00    EARTH-MOON  pi
    0.5629902460262986D-01  ! T**01    EARTH-MOON  pi
    0.2565114476191550D-03  ! T**02    EARTH-MOON  pi
   -0.8035792083049504D-06  ! T**03    EARTH-MOON  pi
    0.5607857665637183D-06  ! T**04    EARTH-MOON  pi
    0.2593748247215914D-07  ! T**05    EARTH-MOON  pi
    0.1595301481047305D-09  ! T**06    EARTH-MOON  pi
   -0.4069947900211205D-10  ! T**07    EARTH-MOON  pi
   -0.1046199450202045D-10  ! T**08    EARTH-MOON  pi

    ----
    MARS
    ----
  
    0.1523679340234000D+01  ! T**00    MARS        a      : semi-major axis    
   -0.5671172239419119D-08  ! T**01    MARS        a      : semi-major axis    
   -0.2152304307258189D-09  ! T**02    MARS        a      : semi-major axis    
    0.1359637231096416D-09  ! T**03    MARS        a      : semi-major axis    
    0.8326063634678283D-12  ! T**04    MARS        a      : semi-major axis    
   -0.6472288393951946D-12  ! T**05    MARS        a      : semi-major axis    
   -0.2604993378637035D-13  ! T**06    MARS        a      : semi-major axis    
    0.9676748127384956D-14  ! T**07    MARS        a      : semi-major axis    
   -0.2166521822662280D-14  ! T**08    MARS        a      : semi-major axis    
 
    0.6203500014141000D+01  ! T**00    MARS        lambda : mean longitude     
    0.3340612434145457D+04  ! T**01    MARS        lambda : mean longitude     
    0.1432192152061476D-04  ! T**02    MARS        lambda : mean longitude     
    0.2142755393737710D-06  ! T**03    MARS        lambda : mean longitude     
    0.1151849842298193D-06  ! T**04    MARS        lambda : mean longitude     
   -0.2402963387437254D-07  ! T**05    MARS        lambda : mean longitude     
   -0.5436839925185774D-08  ! T**06    MARS        lambda : mean longitude     
    0.5990366659178468D-09  ! T**07    MARS        lambda : mean longitude     
    0.4675647871700351D-10  ! T**08    MARS        lambda : mean longitude     
   -0.4346537722484614D-11  ! T**09    MARS        lambda : mean longitude     
 
    0.8536559316400000D-01  ! T**00    MARS        k      : e cos(pi)          
    0.3763367938421870D-02  ! T**01    MARS        k      : e cos(pi)          
   -0.2464616210115644D-03  ! T**02    MARS        k      : e cos(pi)          
   -0.3664324658584607D-05  ! T**03    MARS        k      : e cos(pi)          
    0.1095038205659516D-06  ! T**04    MARS        k      : e cos(pi)          
    0.2467007735627301D-09  ! T**05    MARS        k      : e cos(pi)          
    0.4640379306222765D-11  ! T**06    MARS        k      : e cos(pi)          
    0.2028656203812339D-13  ! T**07    MARS        k      : e cos(pi)          
   -0.3308822257712629D-14  ! T**08    MARS        k      : e cos(pi)          
 
   -0.3789970916200000D-01  ! T**00    MARS        h      : e sin(pi)          
    0.6246745883366477D-02  ! T**01    MARS        h      : e sin(pi)          
    0.1551692161239763D-03  ! T**02    MARS        h      : e sin(pi)          
   -0.6329624344097053D-05  ! T**03    MARS        h      : e sin(pi)          
   -0.6535074899958189D-07  ! T**04    MARS        h      : e sin(pi)          
    0.6288097615171915D-09  ! T**05    MARS        h      : e sin(pi)          
    0.1159177857037481D-10  ! T**06    MARS        h      : e sin(pi)          
    0.2642774700227628D-11  ! T**07    MARS        h      : e sin(pi)          
 
    0.1047042802100000D-01  ! T**00    MARS        q      : sin(i/2) cos(omega)
    0.1713209209255757D-03  ! T**01    MARS        q      : sin(i/2) cos(omega)
   -0.4078518124360005D-04  ! T**02    MARS        q      : sin(i/2) cos(omega)
   -0.1388846384860339D-05  ! T**03    MARS        q      : sin(i/2) cos(omega)
    0.9109734983080438D-08  ! T**04    MARS        q      : sin(i/2) cos(omega)
    0.1744083760717282D-08  ! T**05    MARS        q      : sin(i/2) cos(omega)
    0.1172901222382722D-10  ! T**06    MARS        q      : sin(i/2) cos(omega)
   -0.9078213832211117D-12  ! T**07    MARS        q      : sin(i/2) cos(omega)
 
    0.1228448645700000D-01  ! T**00    MARS        p      : sin(i/2) sin(omega)
   -0.1080243440121441D-02  ! T**01    MARS        p      : sin(i/2) sin(omega)
   -0.1920867334542991D-04  ! T**02    MARS        p      : sin(i/2) sin(omega)
    0.8713671657696112D-06  ! T**03    MARS        p      : sin(i/2) sin(omega)
    0.3082821399822329D-07  ! T**04    MARS        p      : sin(i/2) sin(omega)
    0.4910273921909445D-10  ! T**05    MARS        p      : sin(i/2) sin(omega)

    0.9340062983309727D-01  ! T**00    MARS        e
    0.9048363487663318D-03  ! T**01    MARS        e
   -0.7892759887298593D-05  ! T**02    MARS        e
   -0.2569339068812762D-06  ! T**03    MARS        e
    0.1184809470314034D-07  ! T**04    MARS        e
   -0.9710236349794565D-09  ! T**05    MARS        e
   -0.4958019167726029D-10  ! T**06    MARS        e
    0.8470474257517163D-12  ! T**07    MARS        e
    0.2027187198354280D-12  ! T**08    MARS        e

    0.5865357752289130D+01  ! T**00    MARS        pi
    0.7747742968345397D-01  ! T**01    MARS        pi
   -0.3029121427105991D-03  ! T**02    MARS        pi
    0.9136527367585682D-05  ! T**03    MARS        pi
   -0.2229640306553502D-06  ! T**04    MARS        pi
   -0.8150068682695526D-08  ! T**05    MARS        pi
    0.5675875512217266D-09  ! T**06    MARS        pi
    0.3383662983391387D-10  ! T**07    MARS        pi
   -0.4812690867956140D-13  ! T**08    MARS        pi

    0.3228381024629065D-01  ! T**00    MARS        i
   -0.1422189787738921D-02  ! T**01    MARS        i
   -0.3935347385491876D-04  ! T**02    MARS        i
   -0.5035515304372363D-06  ! T**03    MARS        i
   -0.7638749450545777D-08  ! T**04    MARS        i
    0.2398596012708210D-08  ! T**05    MARS        i
    0.1851903947392099D-09  ! T**06    MARS        i
    0.2853714480688578D-11  ! T**07    MARS        i
    0.7863672992369807D-13  ! T**08    MARS        i

    0.8649515240516328D+00  ! T**00    MARS        omega
   -0.5149028735785332D-01  ! T**01    MARS        omega
   -0.1117005228000058D-02  ! T**02    MARS        omega
   -0.3422573493934030D-04  ! T**03    MARS        omega
   -0.3342100967432171D-05  ! T**04    MARS        omega
   -0.2803388789832090D-06  ! T**05    MARS        omega
   -0.1481228109149438D-07  ! T**06    MARS        omega
   -0.8260772364322820D-09  ! T**07    MARS        omega
   -0.5477891346586545D-10  ! T**08    MARS        omega

    -------
    JUPITER
    ------- 
 
    0.5202603206345000D+01  ! T**00    JUPITER     a      : semi-major axis    
    0.1912471952289138D-05  ! T**01    JUPITER     a      : semi-major axis    
   -0.3869790571809925D-08  ! T**02    JUPITER     a      : semi-major axis    
   -0.5929217761898074D-08  ! T**03    JUPITER     a      : semi-major axis    
   -0.9668890896130183D-09  ! T**04    JUPITER     a      : semi-major axis    
    0.6573479496501756D-10  ! T**05    JUPITER     a      : semi-major axis    
    0.9731176946688437D-11  ! T**06    JUPITER     a      : semi-major axis    
   -0.7085004861879269D-12  ! T**07    JUPITER     a      : semi-major axis    
 
    0.5995461070350000D+00  ! T**00    JUPITER     lambda : mean longitude     
    0.5296909615623250D+03  ! T**01    JUPITER     lambda : mean longitude     
   -0.1483392972823448D-03  ! T**02    JUPITER     lambda : mean longitude     
    0.2874243609095151D-06  ! T**03    JUPITER     lambda : mean longitude     
    0.2253879303361725D-06  ! T**04    JUPITER     lambda : mean longitude     
    0.2867529269214921D-07  ! T**05    JUPITER     lambda : mean longitude     
   -0.1641211235968826D-08  ! T**06    JUPITER     lambda : mean longitude     
   -0.2077808272356467D-09  ! T**07    JUPITER     lambda : mean longitude     
    0.3967078741755257D-10  ! T**08    JUPITER     lambda : mean longitude     
    0.8091031900000001D-11  ! T**09    JUPITER     lambda : mean longitude     
   -0.9676697100000000D-12  ! T**10    JUPITER     lambda : mean longitude     
   -0.2158750000000000D-12  ! T**11    JUPITER     lambda : mean longitude     
 
    0.4698584700500000D-01  ! T**00    JUPITER     k      : e cos(pi)          
    0.1130313783478597D-02  ! T**01    JUPITER     k      : e cos(pi)          
   -0.1093621680728395D-03  ! T**02    JUPITER     k      : e cos(pi)          
   -0.4317689288877983D-05  ! T**03    JUPITER     k      : e cos(pi)          
    0.1965902836610493D-06  ! T**04    JUPITER     k      : e cos(pi)          
    0.2336893310995354D-08  ! T**05    JUPITER     k      : e cos(pi)          
   -0.9254700777736267D-10  ! T**06    JUPITER     k      : e cos(pi)          
