# the byte and line start/end positions of each array in several xsp files
# (useful for seeking)
codes_300ast_20100725.xsp:2461830:44709820:BEGIN_ARRAY 97 25609
codes_300ast_20100725.xsp:2487473:45175416:END_ARRAY 97 25609
codes_300ast_20100725.xsp:2487474:45175435:BEGIN_ARRAY 98 25609
codes_300ast_20100725.xsp:2513117:45639419:END_ARRAY 98 25609
codes_300ast_20100725.xsp:2513118:45639438:BEGIN_ARRAY 99 25609
codes_300ast_20100725.xsp:2538761:46104696:END_ARRAY 99 25609
codes_300ast_20100725.xsp:2538762:46104715:BEGIN_ARRAY 100 25609
codes_300ast_20100725.xsp:2564405:46571608:END_ARRAY 100 25609
codes_300ast_20100725.xsp:2564406:46571628:BEGIN_ARRAY 101 25609
codes_300ast_20100725.xsp:2590049:47037626:END_ARRAY 101 25609
codes_300ast_20100725.xsp:2590050:47037646:BEGIN_ARRAY 102 25609
codes_300ast_20100725.xsp:2615693:47504024:END_ARRAY 102 25609
codes_300ast_20100725.xsp:2615694:47504044:BEGIN_ARRAY 103 25609
codes_300ast_20100725.xsp:2641337:47969760:END_ARRAY 103 25609
codes_300ast_20100725.xsp:2641338:47969780:BEGIN_ARRAY 104 25609
codes_300ast_20100725.xsp:2666981:48435936:END_ARRAY 104 25609
codes_300ast_20100725.xsp:2666982:48435956:BEGIN_ARRAY 105 25609
codes_300ast_20100725.xsp:2692625:48903659:END_ARRAY 105 25609
codes_300ast_20100725.xsp:2692626:48903679:BEGIN_ARRAY 106 25609
codes_300ast_20100725.xsp:2718269:49369368:END_ARRAY 106 25609
codes_300ast_20100725.xsp:2718270:49369388:BEGIN_ARRAY 107 25609
codes_300ast_20100725.xsp:2743913:49834405:END_ARRAY 107 25609
codes_300ast_20100725.xsp:2743914:49834425:BEGIN_ARRAY 108 25609
codes_300ast_20100725.xsp:2769557:50299788:END_ARRAY 108 25609
codes_300ast_20100725.xsp:2769558:50299808:BEGIN_ARRAY 109 25609
codes_300ast_20100725.xsp:2795201:50765474:END_ARRAY 109 25609
codes_300ast_20100725.xsp:2795202:50765494:BEGIN_ARRAY 110 25609
codes_300ast_20100725.xsp:2820845:51232679:END_ARRAY 110 25609
codes_300ast_20100725.xsp:2820846:51232699:BEGIN_ARRAY 111 25609
codes_300ast_20100725.xsp:2846489:51698581:END_ARRAY 111 25609
codes_300ast_20100725.xsp:2846490:51698601:BEGIN_ARRAY 112 25609
codes_300ast_20100725.xsp:2872133:52164592:END_ARRAY 112 25609
codes_300ast_20100725.xsp:2872134:52164612:BEGIN_ARRAY 113 25609
codes_300ast_20100725.xsp:2897777:52630692:END_ARRAY 113 25609
codes_300ast_20100725.xsp:2897778:52630712:BEGIN_ARRAY 114 25609
codes_300ast_20100725.xsp:2923421:53096500:END_ARRAY 114 25609
codes_300ast_20100725.xsp:2923422:53096520:BEGIN_ARRAY 115 25609
codes_300ast_20100725.xsp:2949065:53562126:END_ARRAY 115 25609
codes_300ast_20100725.xsp:2949066:53562146:BEGIN_ARRAY 116 25609
codes_300ast_20100725.xsp:2974709:54028099:END_ARRAY 116 25609
codes_300ast_20100725.xsp:2974710:54028119:BEGIN_ARRAY 117 25609
codes_300ast_20100725.xsp:3000353:54493750:END_ARRAY 117 25609
codes_300ast_20100725.xsp:3000354:54493770:BEGIN_ARRAY 118 25609
codes_300ast_20100725.xsp:3025997:54959193:END_ARRAY 118 25609
codes_300ast_20100725.xsp:3025998:54959213:BEGIN_ARRAY 119 25609
codes_300ast_20100725.xsp:3051641:55425272:END_ARRAY 119 25609
codes_300ast_20100725.xsp:3051642:55425292:BEGIN_ARRAY 120 25609
codes_300ast_20100725.xsp:3077285:55890180:END_ARRAY 120 25609
codes_300ast_20100725.xsp:3077286:55890200:BEGIN_ARRAY 121 25609
codes_300ast_20100725.xsp:3102929:56355084:END_ARRAY 121 25609
codes_300ast_20100725.xsp:3102930:56355104:BEGIN_ARRAY 122 25609
codes_300ast_20100725.xsp:3128573:56821266:END_ARRAY 122 25609
codes_300ast_20100725.xsp:3128574:56821286:BEGIN_ARRAY 123 25609
codes_300ast_20100725.xsp:3154217:57285681:END_ARRAY 123 25609
codes_300ast_20100725.xsp:3154218:57285701:BEGIN_ARRAY 124 25609
codes_300ast_20100725.xsp:3179861:57751475:END_ARRAY 124 25609
codes_300ast_20100725.xsp:3179862:57751495:BEGIN_ARRAY 125 25609
codes_300ast_20100725.xsp:3205505:58216935:END_ARRAY 125 25609
codes_300ast_20100725.xsp:3205506:58216955:BEGIN_ARRAY 126 25609
codes_300ast_20100725.xsp:3231149:58683556:END_ARRAY 126 25609
codes_300ast_20100725.xsp:3231150:58683576:BEGIN_ARRAY 127 25609
codes_300ast_20100725.xsp:3256793:59148641:END_ARRAY 127 25609
codes_300ast_20100725.xsp:3256794:59148661:BEGIN_ARRAY 128 25609
codes_300ast_20100725.xsp:3282437:59614198:END_ARRAY 128 25609
codes_300ast_20100725.xsp:3282438:59614218:BEGIN_ARRAY 129 25609
codes_300ast_20100725.xsp:3308081:60080236:END_ARRAY 129 25609
codes_300ast_20100725.xsp:3308082:60080256:BEGIN_ARRAY 130 25609
codes_300ast_20100725.xsp:3333725:60545889:END_ARRAY 130 25609
codes_300ast_20100725.xsp:3333726:60545909:BEGIN_ARRAY 131 25609
codes_300ast_20100725.xsp:3359369:61012581:END_ARRAY 131 25609
codes_300ast_20100725.xsp:3359370:61012601:BEGIN_ARRAY 132 25609
codes_300ast_20100725.xsp:3385013:61479064:END_ARRAY 132 25609
codes_300ast_20100725.xsp:3385014:61479084:BEGIN_ARRAY 133 25609
codes_300ast_20100725.xsp:3410657:61945367:END_ARRAY 133 25609
codes_300ast_20100725.xsp:3410658:61945387:BEGIN_ARRAY 134 25609
codes_300ast_20100725.xsp:3436301:62411127:END_ARRAY 134 25609
codes_300ast_20100725.xsp:3436302:62411147:BEGIN_ARRAY 135 25609
codes_300ast_20100725.xsp:3461945:62877024:END_ARRAY 135 25609
codes_300ast_20100725.xsp:3461946:62877044:BEGIN_ARRAY 136 25609
codes_300ast_20100725.xsp:3487589:63342859:END_ARRAY 136 25609
codes_300ast_20100725.xsp:3487590:63342879:BEGIN_ARRAY 137 25609
codes_300ast_20100725.xsp:3513233:63809642:END_ARRAY 137 25609
codes_300ast_20100725.xsp:3513234:63809662:BEGIN_ARRAY 138 25609
codes_300ast_20100725.xsp:3538877:64274472:END_ARRAY 138 25609
codes_300ast_20100725.xsp:3538878:64274492:BEGIN_ARRAY 139 25609
codes_300ast_20100725.xsp:3564521:64740390:END_ARRAY 139 25609
codes_300ast_20100725.xsp:3564522:64740410:BEGIN_ARRAY 140 25609
codes_300ast_20100725.xsp:3590165:65206011:END_ARRAY 140 25609
codes_300ast_20100725.xsp:3590166:65206031:BEGIN_ARRAY 141 25609
codes_300ast_20100725.xsp:3615809:65672230:END_ARRAY 141 25609
codes_300ast_20100725.xsp:3615810:65672250:BEGIN_ARRAY 142 25609
