"Distance Finder Calculation"
"Calculation Inputs"
"Calculation type","Distance Event Finder"
"Target","MOON"
"Observer","EARTH"
"Light propagation","No correction"
"Time system","TDB"
"Time format","Seconds past J2000"
"Time range","0 to 3155760000, step 1 hours"
"Coordinate condition","is local maximum"
"Output time unit","seconds"
"Complement result window","no"
"Result interval adjustment","No adjustment"
"Result interval filtering","No filtering"
"Distance Finder Time Intervals"
"Start Time","Stop Time","Duration (secs)"
"  514526768.687940","  514526768.687940",0.00000000E+00
"  516881241.365430","  516881241.365430",0.00000000E+00
"  519264097.933180","  519264097.933180",0.00000000E+00
"  521659515.424260","  521659515.424260",0.00000000E+00
"  524059544.605860","  524059544.605860",0.00000000E+00
"  526459547.762790","  526459547.762790",0.00000000E+00
"  528851050.689270","  528851050.689270",0.00000000E+00
"  531214193.790850","  531214193.790850",0.00000000E+00
"  533549363.932260","  533549363.932260",0.00000000E+00
"  535917356.092960","  535917356.092960",0.00000000E+00
"  538316091.794970","  538316091.794970",0.00000000E+00
"  540724494.309340","  540724494.309340",0.00000000E+00
"  543129995.099260","  543129995.099260",0.00000000E+00
"  545522755.101880","  545522755.101880",0.00000000E+00
"  547890740.419720","  547890740.419720",0.00000000E+00
"  550232532.219180","  550232532.219180",0.00000000E+00
"  552587359.923070","  552587359.923070",0.00000000E+00
"  554968561.694900","  554968561.694900",0.00000000E+00
"  557364339.215590","  557364339.215590",0.00000000E+00
"  559767049.175320","  559767049.175320",0.00000000E+00
"  562170414.177630","  562170414.177630",0.00000000E+00
"  564562463.688300","  564562463.688300",0.00000000E+00
"  566918807.850320","  566918807.850320",0.00000000E+00
"  569254249.594130","  569254249.594130",0.00000000E+00
"  571630624.895960","  571630624.895960",0.00000000E+00
"  574031686.706390","  574031686.706390",0.00000000E+00
"  576437543.769080","  576437543.769080",0.00000000E+00
"  578838966.122620","  578838966.122620",0.00000000E+00
"  581229344.754150","  581229344.754150",0.00000000E+00
"  583598665.921140","  583598665.921140",0.00000000E+00
"  585942293.314660","  585942293.314660",0.00000000E+00
"  588295440.997340","  588295440.997340",0.00000000E+00
"  590676858.468440","  590676858.468440",0.00000000E+00
"  593075828.868290","  593075828.868290",0.00000000E+00
"  595483039.405340","  595483039.405340",0.00000000E+00
"  597889568.213620","  597889568.213620",0.00000000E+00
"  600280183.467680","  600280183.467680",0.00000000E+00
"  602630987.583460","  602630987.583460",0.00000000E+00
"  604970854.479200","  604970854.479200",0.00000000E+00
"  607349699.246620","  607349699.246620",0.00000000E+00
"  609747664.701990","  609747664.701990",0.00000000E+00
"  612149296.855480","  612149296.855480",0.00000000E+00
"  614548252.867520","  614548252.867520",0.00000000E+00
"  616939181.540720","  616939181.540720",0.00000000E+00
"  619311027.587550","  619311027.587550",0.00000000E+00
"  621653613.342990","  621653613.342990",0.00000000E+00
"  624004199.120070","  624004199.120070",0.00000000E+00
"  626387830.223110","  626387830.223110",0.00000000E+00
"  628790961.607810","  628790961.607810",0.00000000E+00
"  631200682.139190","  631200682.139190",0.00000000E+00
"  633605294.323880","  633605294.323880",0.00000000E+00
"  635988924.945390","  635988924.945390",0.00000000E+00
"  638335446.725410","  638335446.725410",0.00000000E+00
"  640681280.376880","  640681280.376880",0.00000000E+00
"  643059940.482840","  643059940.482840",0.00000000E+00
"  645454665.297430","  645454665.297430",0.00000000E+00
"  647854060.964220","  647854060.964220",0.00000000E+00
"  650253074.115810","  650253074.115810",0.00000000E+00
