"Angular Separation Finder Calculation"
"Calculation Inputs"
"Calculation type","Angular Separation Event Finder"
"Target 1","MOON"
"Target 1 shape","Point"
"Target 2","SUN"
"Target 2 shape","Point"
"Observer","EARTH"
"Light propagation","No correction"
"Time system","TDB"
"Time format","Seconds past J2000"
"Time range","0 to 3155760000, step 1 hours"
"Coordinate condition","is local maximum"
"Output time unit","seconds"
"Complement result window","no"
"Result interval adjustment","No adjustment"
"Result interval filtering","No filtering"
"Angular Separation Finder Time Intervals"
"Start Time","Stop Time","Duration (secs)"
" 1208559023.242600"," 1208559023.242600",0.00000000E+00
" 1211093436.946700"," 1211093436.946700",0.00000000E+00
" 1213627536.730100"," 1213627536.730100",0.00000000E+00
" 1216164992.797900"," 1216164992.797900",0.00000000E+00
" 1218709726.187200"," 1218709726.187200",0.00000000E+00
" 1221264579.952200"," 1221264579.952200",0.00000000E+00
" 1223829612.734000"," 1223829612.734000",0.00000000E+00
" 1226401356.262900"," 1226401356.262900",0.00000000E+00
" 1228974343.818800"," 1228974343.818800",0.00000000E+00
" 1231543647.443900"," 1231543647.443900",0.00000000E+00
" 1234105960.866200"," 1234105960.866200",0.00000000E+00
" 1236659412.114400"," 1236659412.114400",0.00000000E+00
" 1239203616.149800"," 1239203616.149800",0.00000000E+00
" 1241739936.902800"," 1241739936.902800",0.00000000E+00
" 1244271297.861500"," 1244271297.861500",0.00000000E+00
" 1246801615.040700"," 1246801615.040700",0.00000000E+00
" 1249335165.769700"," 1249335165.769700",0.00000000E+00
" 1251875871.919700"," 1251875871.919700",0.00000000E+00
" 1254426394.771300"," 1254426394.771300",0.00000000E+00
" 1256987329.774600"," 1256987329.774600",0.00000000E+00
" 1259557031.506900"," 1259557031.506900",0.00000000E+00
" 1262131947.721400"," 1262131947.721400",0.00000000E+00
" 1264706866.763200"," 1264706866.763200",0.00000000E+00
" 1267275735.223500"," 1267275735.223500",0.00000000E+00
" 1269833970.918000"," 1269833970.918000",0.00000000E+00
" 1272380520.009600"," 1272380520.009600",0.00000000E+00
" 1274917615.136800"," 1274917615.136800",0.00000000E+00
" 1277449125.316700"," 1277449125.316700",0.00000000E+00
" 1279979183.014400"," 1279979183.014400",0.00000000E+00
" 1282511524.814800"," 1282511524.814800",0.00000000E+00
" 1285049275.039500"," 1285049275.039500",0.00000000E+00
" 1287594930.236600"," 1287594930.236600",0.00000000E+00
" 1290150320.741800"," 1290150320.741800",0.00000000E+00
" 1292716063.919000"," 1292716063.919000",0.00000000E+00
" 1295290130.743100"," 1295290130.743100",0.00000000E+00
" 1297866762.206400"," 1297866762.206400",0.00000000E+00
" 1300438370.766100"," 1300438370.766100",0.00000000E+00
" 1302999702.662200"," 1302999702.662200",0.00000000E+00
" 1305549819.586000"," 1305549819.586000",0.00000000E+00
" 1308090834.906300"," 1308090834.906300",0.00000000E+00
" 1310625967.081900"," 1310625967.081900",0.00000000E+00
" 1313158473.501700"," 1313158473.501700",0.00000000E+00
" 1315691398.604600"," 1315691398.604600",0.00000000E+00
" 1318227664.627000"," 1318227664.627000",0.00000000E+00
" 1320770139.824300"," 1320770139.824300",0.00000000E+00
" 1323321338.315100"," 1323321338.315100",0.00000000E+00
" 1325882364.114400"," 1325882364.114400",0.00000000E+00
" 1328451393.018600"," 1328451393.018600",0.00000000E+00
" 1331023507.894500"," 1331023507.894500",0.00000000E+00
" 1333593055.365000"," 1333593055.365000",0.00000000E+00
" 1336156239.063900"," 1336156239.063900",0.00000000E+00
" 1338711591.120200"," 1338711591.120200",0.00000000E+00
" 1341259205.125200"," 1341259205.125200",0.00000000E+00
" 1343800267.360900"," 1343800267.360900",0.00000000E+00
" 1346336987.531700"," 1346336987.531700",0.00000000E+00
" 1348872380.421800"," 1348872380.421800",0.00000000E+00
" 1351409703.555400"," 1351409703.555400",0.00000000E+00
" 1353951748.785600"," 1353951748.785600",0.00000000E+00
" 1356500192.687900"," 1356500192.687900",0.00000000E+00
" 1359055156.658000"," 1359055156.658000",0.00000000E+00
" 1361615330.664500"," 1361615330.664500",0.00000000E+00
" 1364178765.975100"," 1364178765.975100",0.00000000E+00
" 1366743497.417800"," 1366743497.417800",0.00000000E+00
" 1369307318.126600"," 1369307318.126600",0.00000000E+00
" 1371867540.056800"," 1371867540.056800",0.00000000E+00
" 1374421827.875700"," 1374421827.875700",0.00000000E+00
" 1376969572.833900"," 1376969572.833900",0.00000000E+00
" 1379512345.298100"," 1379512345.298100",0.00000000E+00
" 1382053011.627100"," 1382053011.627100",0.00000000E+00
" 1384594306.928700"," 1384594306.928700",0.00000000E+00
" 1387137790.939900"," 1387137790.939900",0.00000000E+00
" 1389683734.857600"," 1389683734.857600",0.00000000E+00
" 1392231941.837200"," 1392231941.837200",0.00000000E+00
" 1394782750.703500"," 1394782750.703500",0.00000000E+00
" 1397337141.278600"," 1397337141.278600",0.00000000E+00
" 1399895635.423100"," 1399895635.423100",0.00000000E+00
" 1402457029.223600"," 1402457029.223600",0.00000000E+00
" 1405018493.916800"," 1405018493.916800",0.00000000E+00
" 1407577239.493400"," 1407577239.493400",0.00000000E+00
" 1410132084.173200"," 1410132084.173200",0.00000000E+00
" 1412683498.681500"," 1412683498.681500",0.00000000E+00
" 1415232514.196200"," 1415232514.196200",0.00000000E+00
" 1417779735.797600"," 1417779735.797600",0.00000000E+00
" 1420325204.543700"," 1420325204.543700",0.00000000E+00
" 1422868981.926700"," 1422868981.926700",0.00000000E+00
" 1425411839.316500"," 1425411839.316500",0.00000000E+00
" 1427955460.820300"," 1427955460.820300",0.00000000E+00
" 1430501879.315300"," 1430501879.315300",0.00000000E+00
" 1433052474.865300"," 1433052474.865300",0.00000000E+00
" 1435607396.705500"," 1435607396.705500",0.00000000E+00
" 1438165889.415400"," 1438165889.415400",0.00000000E+00
" 1440726931.598100"," 1440726931.598100",0.00000000E+00
" 1443289279.617600"," 1443289279.617600",0.00000000E+00
" 1445851004.905100"," 1445851004.905100",0.00000000E+00
" 1448409597.381200"," 1448409597.381200",0.00000000E+00
" 1450963081.673600"," 1450963081.673600",0.00000000E+00
" 1453510991.493200"," 1453510991.493200",0.00000000E+00
" 1456054204.656200"," 1456054204.656200",0.00000000E+00
" 1458594252.048200"," 1458594252.048200",0.00000000E+00
" 1461132916.614200"," 1461132916.614200",0.00000000E+00
" 1463672133.529200"," 1463672133.529200",0.00000000E+00
" 1466214005.230700"," 1466214005.230700",0.00000000E+00
" 1468760805.148400"," 1468760805.148400",0.00000000E+00
" 1471314656.510100"," 1471314656.510100",0.00000000E+00
" 1473876528.573000"," 1473876528.573000",0.00000000E+00
" 1476444813.667300"," 1476444813.667300",0.00000000E+00
" 1479014966.051300"," 1479014966.051300",0.00000000E+00
" 1481581570.234400"," 1481581570.234400",0.00000000E+00
" 1484141212.474500"," 1484141212.474500",0.00000000E+00
" 1486693175.650700"," 1486693175.650700",0.00000000E+00
" 1489238188.249500"," 1489238188.249500",0.00000000E+00
" 1491777421.047300"," 1491777421.047300",0.00000000E+00
" 1494312473.700800"," 1494312473.700800",0.00000000E+00
" 1496845744.509700"," 1496845744.509700",0.00000000E+00
" 1499380580.694600"," 1499380580.694600",0.00000000E+00
" 1501920958.446600"," 1501920958.446600",0.00000000E+00
" 1504470528.598000"," 1504470528.598000",0.00000000E+00
" 1507030988.084600"," 1507030988.084600",0.00000000E+00
" 1509600557.549400"," 1509600557.549400",0.00000000E+00
" 1512174282.747900"," 1512174282.747900",0.00000000E+00
" 1514746477.439800"," 1514746477.439800",0.00000000E+00
" 1517312846.168000"," 1517312846.168000",0.00000000E+00
" 1519870792.070200"," 1519870792.070200",0.00000000E+00
" 1522419228.505600"," 1522419228.505600",0.00000000E+00
" 1524958774.292400"," 1524958774.292400",0.00000000E+00
" 1527491763.019600"," 1527491763.019600",0.00000000E+00
" 1530021780.585400"," 1530021780.585400",0.00000000E+00
" 1532553044.014500"," 1532553044.014500",0.00000000E+00
" 1535089762.719800"," 1535089762.719800",0.00000000E+00
" 1537635334.911900"," 1537635334.911900",0.00000000E+00
" 1540191421.108200"," 1540191421.108200",0.00000000E+00
" 1542757395.141700"," 1542757395.141700",0.00000000E+00
" 1545330512.120600"," 1545330512.120600",0.00000000E+00
" 1547906268.186200"," 1547906268.186200",0.00000000E+00
" 1550478796.906100"," 1550478796.906100",0.00000000E+00
" 1553042482.056600"," 1553042482.056600",0.00000000E+00
" 1555594476.979400"," 1555594476.979400",0.00000000E+00
" 1558135632.903700"," 1558135632.903700",0.00000000E+00
" 1560669284.535900"," 1560669284.535900",0.00000000E+00
" 1563199596.869800"," 1563199596.869800",0.00000000E+00
" 1565730556.795500"," 1565730556.795500",0.00000000E+00
" 1568265565.813500"," 1568265565.813500",0.00000000E+00
" 1570807345.924300"," 1570807345.924300",0.00000000E+00
" 1573357969.513800"," 1573357969.513800",0.00000000E+00
