# This CSV contains the distance of 1513 Bayer catalog stars from the Sun
# Field 1: distance in light years (to 4 decimal places)
# Field 2: Bayer Greek letter (first three letters of Anglicization)
# Field 3: Constellation (abbreviation)
486.7999,Gam,UMi
486.7999,Eps,PsA
486.0745,Zet,Ara
486.0745,Tau,Oct
483.9111,Ome,For
483.9111,Lam,Tau
483.1939,Kap,Sco
482.4793,Bet,Mic
481.7667,Eta-2,CrA
481.0560,Pi,Eri
480.3476,Eps,Sge
476.8362,Kap,Cha
476.1401,Psi,Peg
476.1401,Ome-2,Cnc
474.0638,Tau,Sco
474.0638,Nu,Sco
474.0638,Mu-2,Sco
474.0638,Bet,CrA
473.3760,Zet-1,CrB
473.3760,Lam-1,Scl
472.0058,Rho,Sco
472.0058,Eta,Col
471.3238,Ome-1,Sco
469.2892,Xi-1,Cap
469.2892,Tau-2,Ser
469.2892,Gam,Ret
468.6151,Xi,Pav
467.2723,Xi-2,Cen
467.2723,Sig,Aur
466.6037,Iot,Ind
466.6037,Eps,Men
465.9370,Xi,Gru
465.9370,Pi,Ind
464.6095,Alp,Lup
462.6327,Phi,Peg
461.9775,Tau,Aql
460.6722,The,Ret
459.3747,Eta-3,For
458.7286,Gam-2,For
458.0841,Lam,Dor
457.4419,Lam,Cnc
456.1621,Rho,Cet
455.5251,The,Car
455.5251,Mu,Tau
455.5251,Kap,Ara
454.8898,Iot,Her
454.8898,Chi-2,For
454.8898,Chi,Car
452.9945,Phi,Aur
452.3663,Lam,Men
451.7398,Eta,Scl
449.8702,Eta-2,For
448.6328,Omi,Hya
448.6328,Gam,Cir
447.4019,The,Ari
446.7890,Alp,Aps
446.1778,Phi,Psc
444.9603,Zet,Tau
443.7496,Eta-2,Pic
443.1469,Pi,Lup
441.9459,Gam,CMa
441.9459,Eta,Lup
441.3478,Xi-2,CMa
439.5634,Bet,Sge
438.9717,Nu,Pav
438.9717,Mu,Lyr
436.6211,Nu,Cen
436.0373,The,Oph
436.0373,Kap,Hya
436.0373,Gam-1,For
435.4551,Omi,Aqr
434.8746,Kap-1,Vol
434.2956,Del,Ant
434.2956,Bet-1,Cyg
433.7180,Sig,Psc
432.5677,Alp,UMi
431.9946,Zet,PsA
429.7180,Zet,Cae
429.7180,Mu,Mus
428.5886,Rho,Dra
428.0263,Kap,Nor
427.4653,Ups-1,Cen
