NAME;LOCATION;DESCRIPTION;DATE;NAME CHANGE SUGGESTION;NOTE
Thanksgiving;United States and Canada;"Thanksgiving is a holiday celebrated once a year. It is a day to give thanks. It is always on the fourth Thursday of November.

? https://en.wikipedia.org/wiki/Thanksgiving_(United_States)";Annually - fourth Thursday of November;;
Black Friday;United States, United Kingdom, Canada, Mexico, Brazil, India, Panama, Costa Rica, Romania, Denmark, Sweden, South Africa, France, Norway and Hungary;"Black Friday is the Friday which comes immediately after the Thanksgiving holiday in the United States. Since the early 2000s, it has been regarded as the beginning of the Christmas shopping season in the US, and most major retailers open very early (and more recently during overnight hours) and offer promotional sales. Black Fridays are not federal holidays. Certain states, however, observe this day instead of Columbus Day for employees of the state government.

? https://en.wikipedia.org/wiki/Black_Friday_(shopping)";Annually - Friday after Thanksgiving;;
AIDS Day;International;"World AIDS Day is held on 1 December each year and is an opportunity for people worldwide to unite in the fight against HIV, show their support for people living with HIV and to commemorate people who have died. World AIDS Day was the first ever global health day and the first one was held in 1988.

? http://www.worldaidsday.org/
? https://en.wikipedia.org/wiki/World_AIDS_Day";Annually - Dec 1;;
Hannukah;International;"Hanukkah, The Feast of Lights (?? Feast of Dedication) is celebrated for eight days to commemorate the rededication of the Temple following the Jews' victory over occupying forces in 165 BCE, which re-established for a time their religious and political freedom. Begins at sundown and ends at sundown.

? https://www.hebcal.com/holidays/chanukah
? https://en.wikipedia.org/wiki/Hanukkah";Annually - Begins 25 Kislev and Ends 2 Tevet or 3 Tevet;?? Hannukah;
Human Rights Day;International;"The UN General Assembly proclaimed 10 December as Human Rights Day in 1950, to bring to the attention ?of the peoples of the world? the Universal Declaration of Human Rights as the common standard of achievement for all peoples and all nations.

? http://www.un.org/en/events/humanrightsday/
? https://en.wikipedia.org/wiki/Human_Rights_Day";Annually - 10 December;;
Christmas Eve;International;"? Day or evening preceding the traditional birthday of Jesus.

? https://en.wikipedia.org/wiki/Christmas_Eve";Annually - Dec 24;? Christmas Eve;
Christmas;International;"? Christmas (which means ""Feast day of Christ"") is a Christian holiday that honors the birth of Jesus (whom Christians believe is the Son of God), and a cultural holiday for non-Christians. The traditions are different from country to country, but they nearly always include a feast, giving gifts or cards.

? http://www.calendarlabs.com/holidays/us/christmas.php
? https://en.wikipedia.org/wiki/Christmas";Annually - Dec 25;? Christmas;
Boxing Day;United Kingdom, Canada, New Zealand and Australia;"Boxing Day is a public holiday. It is based on a long custom of giving gifts to poor people. It is usually celebrated on 26 December, the day after Christmas Day; In some countries the public holiday is moved to the next weekday if 26 December is a Saturday or Sunday.
In some countries, stores have sales on Boxing Day, similar to Black Friday sales in the United States.

? https://en.wikipedia.org/wiki/Boxing_Day";Annually - Dec 26;;
Kwanzaa;United States;"Kwanzaa is a week long celebration held in the United States to honor universal African heritage and culture. People light a kinara (candle holder with seven candles) and give each other gifts. It takes place from December 26 to January 1 every year. 

? http://www.officialkwanzaawebsite.org/
? https://en.wikipedia.org/wiki/Kwanzaa";Annually - Dec 26-Jan 1;;
New Year's Eve;International;"New Year's Eve is the holiday before New Year's Day, on December 31, the last day of the current year. Kiribati is the first country to welcome the New Year while Baker Island, in the United States is among the last.

? https://en.wikipedia.org/wiki/New_Year%27s_Eve";Annually - dec 31;;
New Years Day;International;"New Year's Day is the first day of the year, in the Gregorian calendar, and falls exactly one week after the Christmas Day of the previous year.

? http://www.officeholidays.com/countries/global/new_years_day.php
? https://en.wikipedia.org/wiki/New_Year%27s_Day";Annually - Jan 1;;
MLK Day;United States;"Martin Luther King, Jr. Day is an American federal holiday marking the birthday of Martin Luther King, Jr.

? http://www.nationalservice.gov/mlkday
? https://en.wikipedia.org/wiki/Martin_Luther_King,_Jr._Day";Annually - Jan 18;;
Groundhog Day;United States;"Groundhog Day is a holiday on February 2. It marks about six weeks before the end of winter. It began in the year 1886. This holiday celebrates ""Punxsutawney Phil"", a groundhog who can supposedly forecast the weather.

? https://en.wikipedia.org/wiki/Groundhog_Day";Annually - Feb 2;;
Super Bowl;United States;"The Super Bowl is a special American football game played every year at the end of the National Football League (NFL) season. The best team from each of the two NFL conferences play for the Vince Lombardi Trophy, which was named after the first coach to win a Super Bowl. For most football fans, it is a very special event.
Some people who do not like football still watch it for the commercials and the half-time show. The TV advertisements during Super Bowl are the most expensive in the world in per second value. Because the high cost of advertising companies usually produce unique advertisements. 

? https://twitter.com/superbowl
? http://www.nfl.com/superbowl
? https://en.wikipedia.org/wiki/Super_Bowl";Every 12 months on the first Sunday of Feb;;
Mardi Gras;International;"Mardi Gras (Fat Tuesday) is a festival held the day before Ash Wednesday, signifying the end of the Carnival season and the start of Lent. Many cities (especially those with large Catholic populations) like New Orleans are famous for their Mardi Gras.

? https://en.wikipedia.org/wiki/Mardi_Gras_in_the_United_States";Annually - ;;
Ash Wednesday;International;"Ash Wednesday (?), a day of fasting, is the first day of Lent in the Western Christian calendar.

? https://en.wikipedia.org/wiki/Ash_Wednesday";Annually - 46 days before Easter;? Ash Wednesday;
Valentine's Day;International;"Valentine's Day is a holiday that happens on February 14. It is the day of the year when lovers show their love to each other. This can be done by giving flowers, chocolates, Valentine's cards or just a nice gift.

? http://www.calendarlabs.com/holidays/us/valentines-day.php
? https://en.wikipedia.org/wiki/Valentine%27s_Day";Annually - Feb 14;? Valentine's Day;
President's Day;United States;"Washington's Birthday, also known as Presidents' Day, is a United States Federal holiday to celebrate the birth of George Washington. The holiday is held on the third Monday in February. This also celebrates Abraham Lincoln's birthday, which is February 12. Presidents? Day is now popularly viewed as a day to celebrate all U.S. presidents past and present.

? http://www.calendarlabs.com/holidays/us/presidents-day.php
? https://en.wikipedia.org/wiki/Washington%27s_Birthday";Annually - Third Monday in February;;
Susan B Anthony Day;United States;"Susan B. Anthony Day is a commemorative holiday to celebrate the birth of Susan B. Anthony and women's suffrage in the United States. The holiday is on Anthony's birthday.

? https://en.wikipedia.org/wiki/Susan_B._Anthony_Day";Annually - Feb 15;Susan B. Anthony Day;
