{cc: 332, y: -13375308.3817287, parea: 32740.031498137, points: 34615, x: 4188907.65900749, pop: 14814591.4286813, z: 4794624.82167642}
{cc: 336, y: 641.944919687887, parea: 0.744262978109115, points: 1, x: 2906.62793770955, pop: 3999.490234375, z: 2671.20626060105}
{cc: 340, y: -9275207.1345181, parea: 131836.151658202, points: 136382, x: 409380.318049492, pop: 9603518.22526086, z: 2448611.2555326}
{cc: 344, y: 6373598.30637405, parea: 1763.49771507301, points: 1907, x: -2857877.70712873, pop: 7552642.85071679, z: 2872630.89819054}
{cc: 348, y: 2107301.05978217, parea: 107358.561274152, points: 157927, x: 5984937.84519287, pop: 9362723.0909628, z: 6882474.02247807}
{cc: 352, y: -57402.2788393357, parea: 109066.431909153, points: 258598, x: 148046.746853898, pop: 366685.68876439, z: 330467.777843796}
{cc: 356, y: 1270030814.617, parea: 3681972.77695812, points: 4014739, x: 221537809.358766, pop: 1408830955.85718, z: 539154081.207591}
{cc: 36, y: 10137148.5314914, parea: 8719063.26727051, points: 9732770, x: -14424700.4927924, pop: 21461498.2987317, z: -11621016.2318783}
{cc: 360, y: 262450876.225078, parea: 2265653.47687774, points: 2271210, x: -97635504.0324367, pop: 284209405.355588, z: -23898838.1450309}
{cc: 364, y: 52143046.9061227, parea: 1884384.06178885, points: 2239198, x: 40855796.0050168, pop: 80356870.6238798, z: 45030372.3097852}
{cc: 368, y: 26001410.6840023, parea: 505390.942497592, points: 602648, x: 26342070.0491214, pop: 44497733.763052, z: 24634504.122045}
{cc: 372, y: -425238.271940797, parea: 83958.0246620908, points: 140101, x: 3276778.64291357, pop: 5508706.10463137, z: 4406686.93241241}
{cc: 376, y: 4322207.91342671, parea: 25818.7264037525, points: 30276, x: 6176617.75415071, pop: 8902494.5942556, z: 4734474.24713669}
{cc: 380, y: 9524934.46532032, parea: 291770.665441037, points: 397968, x: 44339622.9544168, pop: 62118362.6207391, z: 42305210.7281919}
{cc: 384, y: -2454174.7304394, parea: 365227.37317462, points: 368576, x: 26236085.1707612, pop: 26547314.9776718, z: 3095257.45363401}
{cc: 388, y: -2579596.79262481, parea: 13350.5206419207, points: 14050, x: 586573.351349284, pop: 2783567.18372005, z: 865638.25327873}
{cc: 392, y: 71198584.2461304, parea: 447113.408192632, points: 564510, x: -76542357.7730987, pop: 128858380.016334, z: 74903406.5547983}
{cc: 398, y: 11533811.9468928, parea: 3102313.5620984, points: 4659686, x: 4208345.86909665, pop: 18138732.5464299, z: 13169695.5466018}
{cc: 4, y: 23077786.4501529, parea: 748304.948849524, points: 901473, x: 9562236.90816599, pop: 30396037.778196, z: 17259393.5572064}
{cc: 40, y: 1497107.98710428, parea: 97226.018334791, points: 144161, x: 5707941.19798642, pop: 8787255.24784379, z: 6507719.39205756}
{cc: 400, y: 3557287.39320759, parea: 103477.489326761, points: 121056, x: 4911402.10166274, pop: 7149925.62203117, z: 3786787.56815279}
{cc: 404, y: 32983325.0597358, parea: 665031.092324798, points: 665573, x: 44189500.9466224, pop: 55197750.3532013, z: -287958.297072187}
{cc: 408, y: 14569356.0953308, parea: 144364.946311731, points: 188850, x: -10810531.6072999, pop: 23573736.4265961, z: 15038876.1459232}
{cc: 410, y: 33251267.7818482, parea: 123062.011556585, points: 152737, x: -25496098.3322137, pop: 52254227.5243687, z: 31201727.4235478}
{cc: 414, y: 2351841.47306394, parea: 20687.215336771, points: 23736, x: 2122928.85018092, pop: 3630581.09746524, z: 1772778.7325548}
{cc: 417, y: 4109387.26409694, parea: 223691.058721759, points: 298387, x: 1200801.02834058, pop: 5726832.95828157, z: 3799747.79893071}
{cc: 418, y: 6993980.27839961, parea: 268135.064344187, points: 282926, x: -1721332.34291856, pop: 7579058.85973956, z: 2333551.33993365}
{cc: 422, y: 4872798.10477508, parea: 11764.2438636012, points: 14177, x: 6801947.15524259, pop: 10074206.8562949, z: 5610221.75567071}
{cc: 426, y: 763942.200007566, parea: 35495.0772874983, points: 40816, x: 1439083.95763842, pop: 1871253.14029218, z: -920108.212356686}
{cc: 428, y: 563758.529963658, parea: 74960.0340933763, points: 137102, x: 1239687.2557535, pop: 2490424.16572055, z: 2084665.64554458}
{cc: 430, y: -778030.526736713, parea: 112501.741048291, points: 113232, x: 4470423.97746491, pop: 4567972.88797037, z: 515993.748876094}
{cc: 434, y: 1609525.18065965, parea: 1886504.5046703, points: 2121116, x: 5693982.42734442, pop: 6952121.11488649, z: 3620657.26535023}
