country1,country2,border_length_in_meters
Bolivia,Peru,953569.117156349
Iran,Turkmenistan,957634.833696157
Algeria,Libya,963859.589152823
Cambodia,Vietnam,966695.776928053
Argentina,Brazil,985250.701752257
China,Dem. Rep. Korea,1004920.40757863
Kazakhstan,Kyrgyzstan,1017132.71209998
Cameroon,Chad,1023348.71659092
China,Vietnam,1048991.78843977
Kyrgyzstan,Uzbekistan,1049344.04520232
Chad,Libya,1051231.00982621
Portugal,Spain,1064468.12192117
Angola,Zambia,1079530.13655658
Brazil,Guyana,1079640.59393807
Brazil,Paraguay,1097320.6934356
Egypt,Libya,1098366.73215893
China,Nepal,1111759.93542212
Tajikistan,Uzbekistan,1119926.99526587
Chad,Niger,1165092.95395772
Afghanistan,Tajikistan,1170156.98336322
Central African Republic,Chad,1171358.88577785
Mozambique,Zimbabwe,1190705.61926265
Burkina Faso,Mali,1211866.62630906
Colombia,Peru,1220401.37369586
Saudi Arabia,Yemen,1222831.61901679
Finland,Russian Federation,1225505.86145689
Algeria,Mali,1266104.42362253
India,Myanmar,1268031.83865798
Egypt,Sudan,1273069.66269536
Ecuador,Peru,1291135.08269328
Chad,Sudan,1291819.08792037
Iran,Iraq,1310177.96616466
Angola,Namibia,1331551.3231008
Morocco,Western Sahara,1332462.99482265
Botswana,Namibia,1363801.16347149
Brazil,Colombia,1396899.23953421
Niger,Nigeria,1447414.00651609
Central African Republic,Democratic Republic of the Congo,1453240.32168718
Malawi,Mozambique,1460934.4402627
Democratic Republic of the Congo,Republic of the Congo,1468174.02047307
India,Nepal,1483926.3023839
Indonesia,Malaysia,1494841.98974446
China,Kazakhstan,1503271.78672501
Mauritania,Western Sahara,1537652.89198994
Algeria,Morocco,1550630.99269057
Cameroon,Nigeria,1584570.5559175
Norway,Sweden,1594538.16413758
Turkmenistan,Uzbekistan,1595976.53086169
Brazil,Venezuela,1601942.95529805
Botswana,South Africa,1615277.88997669
Lao PDR,Thailand,1616420.13122947
Argentina,Paraguay,1644683.11477213
Russian Federation,Ukraine,1670415.35144138
Gabon,Republic of the Congo,1672038.44871361
China,Myanmar,1699342.34172352
Lao PDR,Vietnam,1749681.02209791
Brazil,Peru,1800027.99921953
Myanmar,Thailand,1832225.23690807
South Sudan,Sudan,1891667.0384969
Democratic Republic of the Congo,Zambia,2034904.15359608
Colombia,Venezuela,2111086.62678802
Mali,Mauritania,2168887.83261682
Kazakhstan,Uzbekistan,2183283.5314128
China,India,2203741.41472294
Afghanistan,Pakistan,2244687.44519451
Angola,Democratic Republic of the Congo,2303219.62244392
Bangladesh,India,2383041.40858078
Mexico,United States,2641152.63654887
India,Pakistan,2657138.62325943
Bolivia,Brazil,2664440.87691117
Mongolia,Russian Federation,2913028.72936006
China,Russian Federation,3544426.86152653
China,Mongolia,4377764.08398686
Argentina,Chile,5032390.27778149
Kazakhstan,Russian Federation,6657568.93224451
Canada,United States,7928262.16463933
